                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6454,                 3.9492,                0.89184,                0.03002,                 0.4863,                0.08961,                0.07267,                0.65605,                 6.8748,                0.58898,             0.00013544,             0.00013544,             0.00013544
                      2,                0.62004,                 2.7364,                0.87599,                0.72239,                0.17233,                0.24748,                0.21574,                0.94217,                  6.114,                0.75207,             0.00018387,             0.00018387,             0.00018387
                      3,                0.66792,                 2.4796,                0.92347,                0.73776,                0.27912,                0.34483,                 0.3045,                0.76502,                  5.191,                0.68115,             0.00014057,             0.00014057,             0.00014057
